"C_ID"|"C_ID"|"C_ACTUALARRIVAL"|"C_ACTUALDEPARTURE"
"73f316ac79c18950000001288d2dd0e500d8"|"73f316ac79c18950000001288d2dd0d600d7"|06.04.10 00:45:24,000000000|06.04.10 00:30:46,000000000
"73f316ac79c18950000001288d2dd0f500d9"|"73f316ac79c18950000001288d2dd0e500d8"|06.04.10 01:41:07,000000000|06.04.10 01:25:24,000000000
"73f316ac79c18950000001288d2dd10500da"|"73f316ac79c18950000001288d2dd0f500d9"|06.04.10 05:07:58,000000000|06.04.10 03:21:07,000000000
"73f316ac79c18950000001288d2dd11400db"|"73f316ac79c18950000001288d2dd10500da"|06.04.10 06:44:41,000000000|06.04.10 05:17:58,000000000
"73f316ac79c18950000001288d2de0e300dd"|"73f316ac79c18950000001288d2de0d300dc"|06.04.10 00:23:40,000000000|06.04.10 00:00:00,000000000
"73f316ac79c18950000001288d2de0f300de"|"73f316ac79c18950000001288d2de0e300dd"|06.04.10 04:06:55,000000000|06.04.10 00:53:40,000000000
"73f316ac79c18950000001288d2de10200df"|"73f316ac79c18950000001288d2de0f300de"|06.04.10 06:33:04,000000000|06.04.10 06:26:55,000000000
"73f316ac79c18950000001288d2de13100e0"|"73f316ac79c18950000001288d2de10200df"|06.04.10 07:30:30,000000000|06.04.10 07:23:04,000000000
"73f316ac79c18950000001288d2de14100e1"|"73f316ac79c18950000001288d2de13100e0"|06.04.10 07:59:26,000000000|06.04.10 07:40:30,000000000
"73f316ac79c18950000001288d2de15000e2"|"73f316ac79c18950000001288d2de14100e1"|06.04.10 08:15:04,000000000|06.04.10 08:09:26,000000000
"73f316ac79c18950000001288d2de16000e3"|"73f316ac79c18950000001288d2de15000e2"|06.04.10 08:51:12,000000000|06.04.10 08:25:04,000000000
"73f316ac79c18950000001288d2de17000e4"|"73f316ac79c18950000001288d2de16000e3"|06.04.10 09:01:12,000000000|06.04.10 09:01:12,000000000
"73f316ac79c18950000001288d2de17f00e5"|"73f316ac79c18950000001288d2de17000e4"|06.04.10 09:11:41,000000000|06.04.10 09:11:12,000000000
"73f316ac79c18950000001288d2de18f00e6"|"73f316ac79c18950000001288d2de17f00e5"|06.04.10 10:01:50,000000000|06.04.10 09:21:41,000000000
"73f316ac79c18950000001288d2de19f00e7"|"73f316ac79c18950000001288d2de18f00e6"|06.04.10 12:13:47,000000000|06.04.10 10:11:50,000000000
"73f316ac79c18950000001288d2de1ae00e8"|"73f316ac79c18950000001288d2de19f00e7"|06.04.10 13:03:02,000000000|06.04.10 12:23:47,000000000
"73f316ac79c18950000001288d2de1be00e9"|"73f316ac79c18950000001288d2de1ae00e8"|06.04.10 13:53:40,000000000|06.04.10 13:23:02,000000000
"73f316ac79c18950000001288d2bda940003"|"73f316ac79c18950000001288d2bda840002"|02.04.10 10:08:45,000000000|02.04.10 09:46:55,000000000
"73f316ac79c18950000001288d2bdaa30004"|"73f316ac79c18950000001288d2bda940003"|02.04.10 11:47:29,000000000|02.04.10 10:18:45,000000000
"73f316ac79c18950000001288d2bdab30005"|"73f316ac79c18950000001288d2bdaa30004"|02.04.10 14:06:59,000000000|02.04.10 11:57:29,000000000
"73f316ac79c18950000001288d2bdac20006"|"73f316ac79c18950000001288d2bdab30005"|02.04.10 14:16:59,000000000|02.04.10 14:16:59,000000000
"73f316ac79c18950000001288d2bdad20007"|"73f316ac79c18950000001288d2bdac20006"|02.04.10 15:57:26,000000000|02.04.10 14:26:59,000000000
"73f316ac79c18950000001288d2bdae20008"|"73f316ac79c18950000001288d2bdad20007"|02.04.10 16:07:26,000000000|02.04.10 16:07:26,000000000
"73f316ac79c18950000001288d2bdaf10009"|"73f316ac79c18950000001288d2bdae20008"|02.04.10 16:18:30,000000000|02.04.10 16:17:26,000000000
"73f316ac79c18950000001288d2bdb01000a"|"73f316ac79c18950000001288d2bdaf10009"|02.04.10 16:53:41,000000000|02.04.10 16:28:30,000000000
"73f316ac79c18950000001288d2bf2de000c"|"73f316ac79c18950000001288d2bf2cf000b"|02.04.10 06:15:00,000000000|02.04.10 05:45:12,000000000
"73f316ac79c18950000001288d2bf2ee000d"|"73f316ac79c18950000001288d2bf2de000c"|02.04.10 08:10:11,000000000|02.04.10 06:35:00,000000000
"73f316ac79c18950000001288d2bf2fe000e"|"73f316ac79c18950000001288d2bf2ee000d"|02.04.10 09:29:26,000000000|02.04.10 08:20:11,000000000
